i: 990277 -> +00d 03:06:31.50 pm - 0x5895B9AF
0x5895B9AF
0x46008C4F
Copy Prot Place: 4
PreLevel00: 0x46008c4f <<<--- Press enter here
PreLevel01: 0xf856f5d6
PreLevel02: 0x11f09541
Level 1, Step 0054/0244: - RNG: 0xda3e534b, IGT: 60:668, Loose: 0, Move: '.......', Room: 1
Level 1, Step 0055/0244: - RNG: 0x9d02f41d, IGT: 60:667, Loose: 0, Move: '......S', Room: 1
Level 1, Step 0056/0244: - RNG: 0x47f9eb7f, IGT: 60:666, Loose: 0, Move: '.......', Room: 1
Level 1, Step 0057/0244: - RNG: 0xd5a06df1, IGT: 60:665, Loose: 0, Move: '.......', Room: 1
Level 1, Step 0058/0244: - RNG: 0x53b23a05, IGT: 60:664, Loose: 22, Move: '.......', Room: 1
Level 1, Step 0059/0244: - RNG: 0x53f1d8ed, IGT: 60:663, Loose: 21, Move: '...R.D.', Room: 1
Level 1, Step 0060/0244: - RNG: 0xd9e7d3c1, IGT: 60:662, Loose: 20, Move: '.......', Room: 1
Level 1, Step 0061/0244: - RNG: 0xf84a70d5, IGT: 60:661, Loose: 21, Move: '.......', Room: 1
Level 1, Step 0062/0244: - RNG: 0xc5480df7, IGT: 60:660, Loose: 21, Move: '.......', Room: 1
Level 1, Step 0063/0244: - RNG: 0x21806429, IGT: 60:659, Loose: 21, Move: '.......', Room: 1
Level 1, Step 0064/0244: - RNG: 0x1db7bbeb, IGT: 60:658, Loose: 21, Move: '...R.D.', Room: 1
Level 1, Step 0065/0244: - RNG: 0xec48a1bd, IGT: 60:657, Loose: 21, Move: '.......', Room: 1
Level 1, Step 0066/0244: - RNG: 0xe976061f, IGT: 60:656, Loose: 21, Move: '.......', Room: 1
Level 1, Step 0067/0244: - RNG: 0xc34e5d91, IGT: 60:655, Loose: 21, Move: '.......', Room: 1
Level 1, Step 0068/0244: - RNG: 0xa5a7c093, IGT: 60:654, Loose: 21, Move: '.......', Room: 1
Level 1, Step 0069/0244: - RNG: 0x9933ff47, IGT: 60:653, Loose: 22, Move: '.....D.', Room: 1
Level 1, Step 0070/0244: - RNG: 0x28570812, IGT: 60:652, Loose: 21, Move: '.....D.', Room: 1
Level 1, Step 0071/0244: - RNG: 0xb836271c, IGT: 60:651, Loose: 21, Move: '.....D.', Room: 1
Level 1, Step 0072/0244: - RNG: 0x5fc440a0, IGT: 60:650, Loose: 22, Move: '.....D.', Room: 1
Level 1, Step 0073/0244: - RNG: 0x73ced41a, IGT: 60:649, Loose: 22, Move: '...R.D.', Room: 1
Level 1, Step 0074/0244: - RNG: 0x2a2f9364, IGT: 60:648, Loose: 22, Move: '.......', Room: 1
